Timestamp,Reading newspapers and magazines,"Domestic chores (cooking, washing, grocery shopping, ironing, etc.)",Driving (not biking),"Leisure activities (sports, hunting, dancing, chess, coin collecting, etc.)","Using new technologies (digital cameras, computer, Internet, etc.)","Social activities (political parties, recreational clubs, associations, etc.)","Cinema, theater","Gardening, DIY, small-scale operations such as knitting, etc.",Looking after grandchildren/nieces/nephews or elderly parents,Voluntary work,"Artistic activities (music, singing, performance, painting, writing, etc.)","Exhibitions, concerts, conferences",Journeys lasting several days,Reading books,Children,Pet care,Managing one's current account
8/29/2020 9:17:32,2,1,3,2,3,3,1,1,4,1,2,2,3,4,4,2,1
8/29/2020 9:51:44,2,2,1,2,2,3,4,1,3,3,4,4,1,4,4,3,2
8/29/2020 10:48:06,3,2,3,2,4,1,2,4,4,3,3,2,3,3,4,4,4
8/29/2020 12:05:47,2,2,2,2,2,3,2,2,2,2,4,3,2,3,3,1,2
8/29/2020 12:32:31,2,2,2,2,2,2,1,2,3,3,2,1,3,3,3,1,3
8/29/2020 12:34:41,2,2,1,3,2,2,1,3,4,2,3,3,3,2,4,2,1
8/29/2020 12:35:00,2,1,2,3,2,2,1,1,3,3,2,2,4,3,4,1,4
8/29/2020 13:35:29,2,2,1,3,3,2,4,2,3,2,4,3,4,2,4,4,2
8/29/2020 14:33:02,3,1,2,3,3,1,2,2,3,2,3,4,2,4,2,1,3
8/29/2020 14:39:56,4,3,3,3,4,2,1,2,3,3,3,3,3,4,3,2,4
8/29/2020 14:49:20,3,3,4,2,4,3,1,2,4,2,2,1,1,3,4,1,4
8/29/2020 14:53:34,3,1,1,2,4,1,1,1,4,3,2,3,4,2,4,2,3
8/29/2020 15:04:59,3,2,4,3,4,4,2,3,3,3,3,2,3,4,4,2,4
8/29/2020 15:24:43,2,2,3,1,3,2,2,2,2,3,2,3,3,2,4,1,3
8/29/2020 15:36:17,1,2,4,4,4,3,1,2,4,3,4,3,2,1,4,4,4
8/29/2020 16:24:59,2,2,4,4,1,4,3,1,3,3,3,4,3,3,3,2,2
